ft_0,ft_1,class
-7.454289801100824620e-02,1.002115037735510222e-01,0.000000000000000000e+00
5.246420163842882012e-01,3.768196268741850763e-01,1.000000000000000000e+00
5.419089356250177403e-01,-5.960576558012468107e-01,0.000000000000000000e+00
-7.510671197562082124e-01,5.160695624253278657e-01,0.000000000000000000e+00
-2.831041046606602163e-01,-4.117381635537785689e-01,0.000000000000000000e+00
3.626565043103034403e-01,-8.285583819308912634e-01,0.000000000000000000e+00
-7.955348092636397306e-01,-6.214280935375877668e-01,1.000000000000000000e+00
1.017975960899833110e+00,-1.263916038948859955e+00,0.000000000000000000e+00
4.831561987497816624e-01,2.298488634986309564e-01,0.000000000000000000e+00
1.443060024358185034e+00,-8.473326599604330545e-01,0.000000000000000000e+00
4.361467046464349573e-01,1.146718008725805982e+00,1.000000000000000000e+00
-1.234621353565988233e+00,-1.215417381804223762e+00,0.000000000000000000e+00
-2.869352985818068635e+00,-2.114385517558604377e+00,0.000000000000000000e+00
7.603042611937362860e-01,-3.384786696166133813e-01,0.000000000000000000e+00
7.304407066488836919e-02,6.451709351907727319e-01,0.000000000000000000e+00
1.231373187182048801e-01,-7.257808936533488575e-01,0.000000000000000000e+00
-7.752446067436706834e-01,1.240874459122346618e+00,1.000000000000000000e+00
-5.473741764984040303e-01,4.541903924774985390e-01,0.000000000000000000e+00
-7.147163831784872912e-01,-1.756695522439025714e-01,1.000000000000000000e+00
5.503859798086351007e-02,-1.579715177965615642e-04,0.000000000000000000e+00
1.576440311183807119e-01,-4.782687488235721762e-01,1.000000000000000000e+00
1.069524958678193416e+00,-6.583271528088949776e-01,0.000000000000000000e+00
-1.295059919350260325e+00,1.596346862005467923e-02,0.000000000000000000e+00
-6.680895512549195336e-01,6.182235697504886440e-01,0.000000000000000000e+00
-1.304497680010174854e+00,-1.198234697856526809e+00,0.000000000000000000e+00
-1.574216874369812058e-01,-3.406938047568709438e-01,0.000000000000000000e+00
-5.687794313892343689e-01,-5.958741913872290796e-01,1.000000000000000000e+00
6.698874996361837975e-02,1.877334957358482104e+00,0.000000000000000000e+00
-4.516524818507854089e-02,2.395336487672191927e-01,1.000000000000000000e+00
-4.755030108874959693e-01,-6.407877866683088230e-01,1.000000000000000000e+00
-2.913115179904383067e-01,-1.633768350895114851e+00,0.000000000000000000e+00
1.208518699897365434e-01,1.162794295315844773e+00,0.000000000000000000e+00
2.549243376101454128e+00,2.290721376425961964e+00,0.000000000000000000e+00
4.266081504984602923e-01,-5.077133483141353931e-01,0.000000000000000000e+00
2.473043913927664983e-01,-1.557849652621879355e-01,1.000000000000000000e+00
-3.896136817589160861e-01,8.320104870938851427e-01,1.000000000000000000e+00
-4.137704304012030515e-02,-2.013334527971414101e+00,0.000000000000000000e+00
-9.345383403184598370e-02,-1.244537346890117968e+00,1.000000000000000000e+00
1.822816207019916507e-02,9.694415102712586885e-01,0.000000000000000000e+00
4.479228197117077759e-01,9.342913782763533070e-02,1.000000000000000000e+00
1.084332763387157339e+00,7.515976518688270991e-01,0.000000000000000000e+00
1.052360469811818300e-01,-1.152436992769908741e+00,1.000000000000000000e+00
-2.233265199422467262e-01,3.673059238726787967e-01,0.000000000000000000e+00
4.428598578621613102e-01,-5.666597934182028284e-01,0.000000000000000000e+00
2.964115593484750733e-01,2.655388729499342793e-01,0.000000000000000000e+00
5.782820080585802103e-01,5.196088036551337330e-01,0.000000000000000000e+00
6.535957618572437733e-01,2.615206588374264229e-01,0.000000000000000000e+00
-1.746323688282344078e+00,1.496796138747268079e-01,0.000000000000000000e+00
4.773693047120746713e-01,-1.909001013479161013e-01,0.000000000000000000e+00
-1.441981331195988147e+00,-4.943678946969266019e-01,1.000000000000000000e+00
7.033048876375938008e-01,2.182509056401038539e+00,0.000000000000000000e+00
9.037229346987797340e-01,1.964566629083462246e+00,1.000000000000000000e+00
-1.041906116763870571e+00,1.426501557843825374e+00,0.000000000000000000e+00
1.192553781497615262e+00,-1.288906266384598265e+00,0.000000000000000000e+00
-8.400352461095019763e-01,-3.878698175322376485e-01,0.000000000000000000e+00
-4.546339482355994943e-01,5.673210772879796471e-01,0.000000000000000000e+00
2.069696415782360244e-01,-2.450551170732176431e-01,0.000000000000000000e+00
3.360432185322022591e-01,1.299089759876517647e+00,1.000000000000000000e+00
9.391648120002005218e-02,-8.486331069206353162e-01,1.000000000000000000e+00
7.710443740020695991e-01,6.361246441378136662e-01,1.000000000000000000e+00
-1.242391624188188548e-01,-6.515581798479338493e-01,0.000000000000000000e+00
1.275958725191407739e+00,1.562633105136932432e+00,1.000000000000000000e+00
1.225428324450357070e-01,-5.867908434193752631e-01,0.000000000000000000e+00
-1.618000906060227173e+00,-3.360188669794135774e-01,1.000000000000000000e+00
1.340371382437528069e+00,-5.318723402539923262e-01,1.000000000000000000e+00
4.992372476605375087e-01,1.098336756380738688e+00,0.000000000000000000e+00
-7.952128986719734227e-01,8.028604050169171336e-01,0.000000000000000000e+00
-2.069313229662045617e-01,-5.266450509039316552e-01,1.000000000000000000e+00
1.226610890682398258e+00,1.050333332209075321e+00,1.000000000000000000e+00
1.490725037552378840e+00,8.285046986014320547e-01,0.000000000000000000e+00
-1.069499779059253780e-01,-4.907287351099799966e-01,1.000000000000000000e+00
-7.252466094446271550e-01,1.900668604269746820e-01,0.000000000000000000e+00
-5.585416032568480960e-01,-1.894896771351706644e+00,1.000000000000000000e+00
-2.487734594543697664e-01,-1.687316229226420328e+00,0.000000000000000000e+00
-5.193112609327416029e-01,-1.190058616797694979e+00,1.000000000000000000e+00
1.020738655506755688e+00,1.498229953824659733e+00,1.000000000000000000e+00
-1.701540901716072751e+00,-1.108078504875595227e+00,1.000000000000000000e+00
-1.209451925165123010e+00,-1.154266587564800606e+00,0.000000000000000000e+00
1.332607709147361208e-01,-1.046860387403127923e+00,1.000000000000000000e+00
-6.175112055361855479e-01,-1.254129522598574353e-01,1.000000000000000000e+00
1.932516552150969291e+00,1.305345716689520374e+00,0.000000000000000000e+00
-5.964306126423225551e-01,-7.126129500969222708e-01,0.000000000000000000e+00
-1.945586372357116234e-01,-6.480177400283569922e-01,1.000000000000000000e+00
9.881296032037474586e-02,4.396375382698799461e-01,0.000000000000000000e+00
-4.063140165036389639e-01,2.779291789227766873e+00,1.000000000000000000e+00
-5.319643418979123073e-01,-2.619791078568306508e-01,1.000000000000000000e+00
-5.483934334532863247e-02,-7.354064132096749251e-01,1.000000000000000000e+00
1.273381041922532625e-02,9.058339158788170087e-02,0.000000000000000000e+00
2.932385623976244693e-01,-1.430086689927779320e+00,1.000000000000000000e+00
7.753730699250442893e-01,-1.031202573055256089e+00,1.000000000000000000e+00
1.248153500579982922e-01,1.054454903925290621e+00,1.000000000000000000e+00
-1.303564493943225600e+00,-1.010089177760256973e+00,1.000000000000000000e+00
-9.540325061575358756e-01,1.957935628084042923e-01,0.000000000000000000e+00
-3.766582581080296088e-01,7.319639250778398054e-01,0.000000000000000000e+00
-1.461435715349739040e+00,1.117489679879992259e+00,1.000000000000000000e+00
-1.183273982508119770e+00,-4.265326201497998126e-01,0.000000000000000000e+00
1.218270205499510650e-01,1.335073141452404466e-01,0.000000000000000000e+00
5.589154697666317562e-01,4.669819762182090828e-01,1.000000000000000000e+00
1.165838675583424244e+00,1.389564681866664264e+00,1.000000000000000000e+00
4.195336640609376166e-01,-2.241492057155998197e-01,1.000000000000000000e+00
8.611601654256192395e-01,7.772872282773810038e-02,0.000000000000000000e+00
9.810246579556168856e-01,9.289207089431400499e-01,1.000000000000000000e+00
-8.139575822920032122e-01,-1.286329337274050522e+00,0.000000000000000000e+00
1.020071687821956230e+00,-2.511387871792587489e-01,1.000000000000000000e+00
1.537837147926024883e+00,6.662249827160001692e-01,0.000000000000000000e+00
7.281422740770762680e-02,9.967466417994860217e-01,1.000000000000000000e+00
5.929446816987738594e-02,-1.200086786904902558e+00,1.000000000000000000e+00
1.020547537794901150e+00,-3.582724041897722422e-01,1.000000000000000000e+00
4.808887920332000077e-01,3.480054278284453462e-01,0.000000000000000000e+00
1.478483359855890411e+00,9.108836730060192455e-01,1.000000000000000000e+00
1.549597468104563891e+00,1.577203290172002559e+00,0.000000000000000000e+00
3.557258741050640938e-02,9.149296873705851096e-01,1.000000000000000000e+00
1.192022774215505843e+00,3.480293524692661400e-01,1.000000000000000000e+00
1.871085975562948311e+00,1.032708675545203958e+00,1.000000000000000000e+00
-3.638006383181993098e-01,-2.697797899929727516e-01,1.000000000000000000e+00
-1.334531898835087604e+00,6.366125786570774325e-01,1.000000000000000000e+00
-4.550361299101886026e-01,8.957368413411280761e-01,1.000000000000000000e+00
-8.292853682554448547e-01,1.190467453540892118e+00,0.000000000000000000e+00
9.791281657948126549e-01,1.046515223737829903e+00,0.000000000000000000e+00
1.335789558338458693e+00,5.152343641773200478e-01,0.000000000000000000e+00
-1.858495999737226068e-01,-2.527924523951674551e-01,1.000000000000000000e+00
-7.614379597807999778e-01,-4.179264980352656589e-01,0.000000000000000000e+00
-1.453854715007558251e+00,-5.587972108694581053e-01,0.000000000000000000e+00
7.713948380538191429e-01,4.641541356314514699e-01,1.000000000000000000e+00
1.474537713899980007e+00,-2.070761687708311261e-01,0.000000000000000000e+00
6.509048512702982903e-01,1.023175671686032517e+00,1.000000000000000000e+00
1.467681796613746537e+00,-1.943514377329964571e+00,0.000000000000000000e+00
-1.038470984642558825e+00,5.585306857133419678e-01,1.000000000000000000e+00
-2.053463354333938007e+00,-1.057350848642543584e+00,0.000000000000000000e+00
-1.848687792516463535e+00,3.070614457249649654e-01,1.000000000000000000e+00
3.446970969987484534e-01,-6.500764648790212652e-01,1.000000000000000000e+00
-2.863385240327121495e-01,7.739618258713996113e-01,1.000000000000000000e+00
9.808791660457394368e-01,-2.055394918056342668e+00,1.000000000000000000e+00
5.128138844873564306e-01,-2.170916958084642343e-02,1.000000000000000000e+00
-2.282003932687694248e-01,-1.977956091603067512e-01,0.000000000000000000e+00
-4.821337534042136053e-02,1.300699288520505315e+00,1.000000000000000000e+00
-2.252486846680818722e-01,-2.979042745952243942e-01,1.000000000000000000e+00
2.298611653036015667e+00,-4.766067243122042996e-01,0.000000000000000000e+00
-6.276513596193927791e-01,5.572649403131814116e-01,1.000000000000000000e+00
